spread,target_median,number_KNN,ABS Metrics ,fsignal
,,,,
1031,1031,1,0,0
,,,,
978,1008,6,0.03,0
,,,,
675,1008,6,0.33,1
,,,,
840,840,3,0,0
,,,,
1275,1275,3,0,0
,,,,
971,971,1,0,0
,,,,
1297,993,13,0.31,0
,,,,
1034,993,13,0.04,0
,,,,
858,1058,5,0.19,0
,,,,
1290,1106,10,0.17,1
,,,,
1257,1112,6,0.13,0
,,,,
1977,2141,23,0.08,0
,,,,
1180,1106,10,0.07,0
,,,,
1256,1112,6,0.13,1
,,,,
2931,2141,23,0.37,1
,,,,
1280,1106,10,0.16,1
,,,,
992,992,3,0,0
,,,,
908,1039,7,0.13,0
,,,,
861,1106,10,0.22,1
,,,,
1085,1085,3,0,0
,,,,
1268,1462,4,0.13,1
,,,,
1159,1064,12,0.09,0
,,,,
1161,1064,12,0.09,0
,,,,
1062,1064,12,0,0
,,,,
1299,1068,19,0.22,0
,,,,
1163,1064,12,0.09,0
,,,,
1619,2108,23,0.23,0
,,,,
765,1068,19,0.28,0
,,,,
1094,2108,23,0.48,0
,,,,
664,838,2,0.21,1
,,,,
1465,1506,13,0.03,0
,,,,
1009,1008,5,0,0
,,,,
955,974,8,0.02,0
,,,,
992,974,8,0.02,0
,,,,
1347,1150,2,0.17,0
,,,,
920,926,4,0.01,0
,,,,
1140,1140,1,0,0
,,,,
686,622,2,0.1,0
,,,,
1132,1132,1,0,0
,,,,
538,538,1,0,0
,,,,
1676,1563,3,0.07,0
,,,,
1239,1239,1,0,0
,,,,
95,146,2,0.35,0
,,,,
121,136,3,0.11,1
,,,,
290,290,1,0,0
,,,,
178,178,1,0,0
,,,,
237,237,1,0,0
,,,,
284,284,1,0,0
,,,,
460,460,1,0,0
,,,,
659,659,1,0,0
,,,,
207,207,1,0,0
,,,,
208,208,1,0,0
,,,,
223,223,1,0,0
,,,,
480,480,1,0,0
,,,,
1731,1731,1,0,0
,,,,
174,174,1,0,0
,,,,
178,178,1,0,0
,,,,
210,210,1,0,0
,,,,
268,268,1,0,0
,,,,
158,158,1,0,0
,,,,
174,174,1,0,0
,,,,
410,410,1,0,0
,,,,
2703,2703,1,0,0
,,,,
474,436,2,0.09,1
,,,,
267,267,1,0,0
,,,,
860,860,1,0,0
,,,,
1263,1263,1,0,0
,,,,
829,829,1,0,0
,,,,
347,347,1,0,0
,,,,
991,991,1,0,0
,,,,
237,237,1,0,0
,,,,
304,304,1,0,0
,,,,
2958,2958,1,0,0
,,,,
548,548,1,0,0
,,,,
565,415,2,0.36,1
,,,,
2205,2205,1,0,0
,,,,
138,138,1,0,0
,,,,
136,136,3,0,0
,,,,
189,189,1,0,0
,,,,
523,523,1,0,0
,,,,
719,719,1,0,0
,,,,
226,226,1,0,0
,,,,
662,662,1,0,0
,,,,
395,395,1,0,0
,,,,
12390,12390,1,0,0
,,,,
397,436,2,0.09,1
,,,,
2538,2538,1,0,0
,,,,
1094,1094,1,0,0
,,,,
166,166,1,0,0
,,,,
87,87,1,0,0
,,,,
115,115,1,0,0
,,,,
171,171,1,0,0
,,,,
191,191,1,0,0
,,,,
1513,1513,1,0,0
,,,,
876,876,1,0,0
,,,,
254,254,1,0,0
,,,,
769,769,1,0,0
,,,,
155,155,2,0,0
,,,,
170,180,2,0.06,1
,,,,
429,429,1,0,0
,,,,
442,442,1,0,0
,,,,
491,491,1,0,0
,,,,
501,501,1,0,0
,,,,
503,503,1,0,0
,,,,
596,596,1,0,0
,,,,
378,378,1,0,0
,,,,
498,498,1,0,0
,,,,
835,835,1,0,0
,,,,
155,155,2,0,0
,,,,
158,158,1,0,0
,,,,
318,318,1,0,0
,,,,
402,402,1,0,0
,,,,
445,445,1,0,0
,,,,
628,628,1,0,0
,,,,
1173,1173,1,0,0
,,,,
4090,4090,1,0,0
,,,,
4737,4737,1,0,0
,,,,
262,262,1,0,0
,,,,
420,420,1,0,0
,,,,
2986,2986,1,0,0
,,,,
3309,3309,1,0,0
,,,,
668,668,1,0,0
,,,,
493,493,1,0,0
,,,,
2963,2963,1,0,0
,,,,
271,271,1,0,0
,,,,
59672,59672,1,0,0
,,,,
301,301,1,0,0
,,,,
339,339,1,0,0
,,,,
372,372,1,0,0
,,,,
1227,1227,1,0,0
,,,,
2743,2743,1,0,0
,,,,
6832,6832,1,0,0
,,,,
7041,7041,1,0,0
,,,,
5770,5770,1,0,0
,,,,
1843,1843,1,0,0
,,,,
935,935,1,0,0
,,,,
5095,5095,1,0,0
,,,,
957,957,1,0,0
,,,,
88711,88711,1,0,0
,,,,
667,667,1,0,0
,,,,
671,671,1,0,0
,,,,
676,676,1,0,0
,,,,
746,746,1,0,0
,,,,
1326,1326,1,0,0
,,,,
1345,1345,1,0,0
,,,,
1756,1756,1,0,0
,,,,
698,698,1,0,0
,,,,
890,890,1,0,0
,,,,
1277,1277,1,0,0
,,,,
337,703,4,0.52,0
,,,,
786,784,4,0,0
,,,,
1224,1224,1,0,0
,,,,
1599,1599,1,0,0
,,,,
2437,2437,1,0,0
,,,,
255,516,3,0.51,1
,,,,
433,662,2,0.35,1
,,,,
991,991,3,0,0
,,,,
516,516,3,0,0
,,,,
581,581,1,0,0
,,,,
763,991,3,0.23,1
,,,,
951,951,1,0,0
,,,,
1098,1210,2,0.09,1
,,,,
2094,2094,1,0,0
,,,,
1904,1904,1,0,0
,,,,
5617,5617,1,0,0
,,,,
